번호,언어 제공자 ID,방향,타입(단어/문장),파일명,한국어
10985,11,좌측면,단어,KETI_SL_0000010985,85
10986,11,좌측면,단어,KETI_SL_0000010986,86
10987,11,좌측면,단어,KETI_SL_0000010987,87
10988,11,좌측면,단어,KETI_SL_0000010988,88
10989,11,좌측면,단어,KETI_SL_0000010989,89
10990,11,좌측면,단어,KETI_SL_0000010990,90
10991,11,좌측면,단어,KETI_SL_0000010991,91
10992,11,좌측면,단어,KETI_SL_0000010992,92
10993,11,좌측면,단어,KETI_SL_0000010993,93
10994,11,좌측면,단어,KETI_SL_0000010994,94
10995,11,좌측면,단어,KETI_SL_0000010995,95
10996,11,좌측면,단어,KETI_SL_0000010996,96
10997,11,좌측면,단어,KETI_SL_0000010997,97
10998,11,좌측면,단어,KETI_SL_0000010998,98
10999,11,좌측면,단어,KETI_SL_0000010999,99
11000,11,좌측면,단어,KETI_SL_0000011000,100
11319,11,우측면,단어,KETI_SL_0000011319,0
11320,11,우측면,단어,KETI_SL_0000011320,1
11321,11,우측면,단어,KETI_SL_0000011321,2
11322,11,우측면,단어,KETI_SL_0000011322,3
11323,11,우측면,단어,KETI_SL_0000011323,4
11324,11,우측면,단어,KETI_SL_0000011324,5
11325,11,우측면,단어,KETI_SL_0000011325,6
11326,11,우측면,단어,KETI_SL_0000011326,7
11327,11,우측면,단어,KETI_SL_0000011327,8
11328,11,우측면,단어,KETI_SL_0000011328,9
11329,11,우측면,단어,KETI_SL_0000011329,10
11330,11,우측면,단어,KETI_SL_0000011330,11
11331,11,우측면,단어,KETI_SL_0000011331,12
11332,11,우측면,단어,KETI_SL_0000011332,13
11333,11,우측면,단어,KETI_SL_0000011333,14
11334,11,우측면,단어,KETI_SL_0000011334,15
11335,11,우측면,단어,KETI_SL_0000011335,16
11336,11,우측면,단어,KETI_SL_0000011336,17
11337,11,우측면,단어,KETI_SL_0000011337,18
11338,11,우측면,단어,KETI_SL_0000011338,19
11339,11,우측면,단어,KETI_SL_0000011339,20
11340,11,우측면,단어,KETI_SL_0000011340,21
11341,11,우측면,단어,KETI_SL_0000011341,22
11342,11,우측면,단어,KETI_SL_0000011342,23
11343,11,우측면,단어,KETI_SL_0000011343,24
11344,11,우측면,단어,KETI_SL_0000011344,25
11345,11,우측면,단어,KETI_SL_0000011345,26
11346,11,우측면,단어,KETI_SL_0000011346,27
11347,11,우측면,단어,KETI_SL_0000011347,28
11348,11,우측면,단어,KETI_SL_0000011348,29
11349,11,우측면,단어,KETI_SL_0000011349,30
11350,11,우측면,단어,KETI_SL_0000011350,31
11351,11,우측면,단어,KETI_SL_0000011351,32
11352,11,우측면,단어,KETI_SL_0000011352,33
11353,11,우측면,단어,KETI_SL_0000011353,34
11354,11,우측면,단어,KETI_SL_0000011354,35
11355,11,우측면,단어,KETI_SL_0000011355,36
11356,11,우측면,단어,KETI_SL_0000011356,37
11357,11,우측면,단어,KETI_SL_0000011357,38
11358,11,우측면,단어,KETI_SL_0000011358,39
11359,11,우측면,단어,KETI_SL_0000011359,40
11360,11,우측면,단어,KETI_SL_0000011360,41
11361,11,우측면,단어,KETI_SL_0000011361,42
11362,11,우측면,단어,KETI_SL_0000011362,43
11363,11,우측면,단어,KETI_SL_0000011363,44
11364,11,우측면,단어,KETI_SL_0000011364,45
11365,11,우측면,단어,KETI_SL_0000011365,46
11366,11,우측면,단어,KETI_SL_0000011366,47
11367,11,우측면,단어,KETI_SL_0000011367,48
11368,11,우측면,단어,KETI_SL_0000011368,49
11369,11,우측면,단어,KETI_SL_0000011369,50
11370,11,우측면,단어,KETI_SL_0000011370,51
11371,11,우측면,단어,KETI_SL_0000011371,52
11372,11,우측면,단어,KETI_SL_0000011372,53
11373,11,우측면,단어,KETI_SL_0000011373,54
11374,11,우측면,단어,KETI_SL_0000011374,55
11375,11,우측면,단어,KETI_SL_0000011375,56
11376,11,우측면,단어,KETI_SL_0000011376,57
11377,11,우측면,단어,KETI_SL_0000011377,58
11378,11,우측면,단어,KETI_SL_0000011378,59
11379,11,우측면,단어,KETI_SL_0000011379,60
11380,11,우측면,단어,KETI_SL_0000011380,61
11381,11,우측면,단어,KETI_SL_0000011381,62
11382,11,우측면,단어,KETI_SL_0000011382,63
11383,11,우측면,단어,KETI_SL_0000011383,64
11384,11,우측면,단어,KETI_SL_0000011384,65
11385,11,우측면,단어,KETI_SL_0000011385,66
11386,11,우측면,단어,KETI_SL_0000011386,67
11387,11,우측면,단어,KETI_SL_0000011387,68
11388,11,우측면,단어,KETI_SL_0000011388,69
11389,11,우측면,단어,KETI_SL_0000011389,70
11390,11,우측면,단어,KETI_SL_0000011390,71
11391,11,우측면,단어,KETI_SL_0000011391,72
11392,11,우측면,단어,KETI_SL_0000011392,73
11393,11,우측면,단어,KETI_SL_0000011393,74
11394,11,우측면,단어,KETI_SL_0000011394,75
11395,11,우측면,단어,KETI_SL_0000011395,76
11396,11,우측면,단어,KETI_SL_0000011396,77
11397,11,우측면,단어,KETI_SL_0000011397,78
11398,11,우측면,단어,KETI_SL_0000011398,79
11399,11,우측면,단어,KETI_SL_0000011399,80
11400,11,우측면,단어,KETI_SL_0000011400,81
11401,11,우측면,단어,KETI_SL_0000011401,82
11402,11,우측면,단어,KETI_SL_0000011402,83
11403,11,우측면,단어,KETI_SL_0000011403,84
11404,11,우측면,단어,KETI_SL_0000011404,85
11405,11,우측면,단어,KETI_SL_0000011405,86
11406,11,우측면,단어,KETI_SL_0000011406,87
11407,11,우측면,단어,KETI_SL_0000011407,88
11408,11,우측면,단어,KETI_SL_0000011408,89
11409,11,우측면,단어,KETI_SL_0000011409,90
11410,11,우측면,단어,KETI_SL_0000011410,91
11411,11,우측면,단어,KETI_SL_0000011411,92
11412,11,우측면,단어,KETI_SL_0000011412,93
11413,11,우측면,단어,KETI_SL_0000011413,94
11414,11,우측면,단어,KETI_SL_0000011414,95
11415,11,우측면,단어,KETI_SL_0000011415,96
11416,11,우측면,단어,KETI_SL_0000011416,97
11417,11,우측면,단어,KETI_SL_0000011417,98
11418,11,우측면,단어,KETI_SL_0000011418,99
11419,11,우측면,단어,KETI_SL_0000011419,100
11738,12,정면,단어,KETI_SL_0000011738,0
11739,12,정면,단어,KETI_SL_0000011739,1
11740,12,정면,단어,KETI_SL_0000011740,2
11741,12,정면,단어,KETI_SL_0000011741,3
11742,12,정면,단어,KETI_SL_0000011742,4
11743,12,정면,단어,KETI_SL_0000011743,5
11744,12,정면,단어,KETI_SL_0000011744,6
11745,12,정면,단어,KETI_SL_0000011745,7
11746,12,정면,단어,KETI_SL_0000011746,8
11747,12,정면,단어,KETI_SL_0000011747,9
11748,12,정면,단어,KETI_SL_0000011748,10
11749,12,정면,단어,KETI_SL_0000011749,11
11750,12,정면,단어,KETI_SL_0000011750,12
11751,12,정면,단어,KETI_SL_0000011751,13
11752,12,정면,단어,KETI_SL_0000011752,14
11753,12,정면,단어,KETI_SL_0000011753,15
11754,12,정면,단어,KETI_SL_0000011754,16
11755,12,정면,단어,KETI_SL_0000011755,17
11756,12,정면,단어,KETI_SL_0000011756,18
11757,12,정면,단어,KETI_SL_0000011757,19
11758,12,정면,단어,KETI_SL_0000011758,20
11759,12,정면,단어,KETI_SL_0000011759,21
11760,12,정면,단어,KETI_SL_0000011760,22
11761,12,정면,단어,KETI_SL_0000011761,23
11762,12,정면,단어,KETI_SL_0000011762,24
11763,12,정면,단어,KETI_SL_0000011763,25
11764,12,정면,단어,KETI_SL_0000011764,26
11765,12,정면,단어,KETI_SL_0000011765,27
11766,12,정면,단어,KETI_SL_0000011766,28
11767,12,정면,단어,KETI_SL_0000011767,29
11768,12,정면,단어,KETI_SL_0000011768,30
11769,12,정면,단어,KETI_SL_0000011769,31
11770,12,정면,단어,KETI_SL_0000011770,32
11771,12,정면,단어,KETI_SL_0000011771,33
11772,12,정면,단어,KETI_SL_0000011772,34
11773,12,정면,단어,KETI_SL_0000011773,35
11774,12,정면,단어,KETI_SL_0000011774,36
11775,12,정면,단어,KETI_SL_0000011775,37
11776,12,정면,단어,KETI_SL_0000011776,38
11777,12,정면,단어,KETI_SL_0000011777,39
11778,12,정면,단어,KETI_SL_0000011778,40
11779,12,정면,단어,KETI_SL_0000011779,41
11780,12,정면,단어,KETI_SL_0000011780,42
11781,12,정면,단어,KETI_SL_0000011781,43
11782,12,정면,단어,KETI_SL_0000011782,44
11783,12,정면,단어,KETI_SL_0000011783,45
11784,12,정면,단어,KETI_SL_0000011784,46
11785,12,정면,단어,KETI_SL_0000011785,47
11786,12,정면,단어,KETI_SL_0000011786,48
11787,12,정면,단어,KETI_SL_0000011787,49
11788,12,정면,단어,KETI_SL_0000011788,50
11789,12,정면,단어,KETI_SL_0000011789,51
11790,12,정면,단어,KETI_SL_0000011790,52
11791,12,정면,단어,KETI_SL_0000011791,53
11792,12,정면,단어,KETI_SL_0000011792,54
11793,12,정면,단어,KETI_SL_0000011793,55
11794,12,정면,단어,KETI_SL_0000011794,56
11795,12,정면,단어,KETI_SL_0000011795,57
11796,12,정면,단어,KETI_SL_0000011796,58
11797,12,정면,단어,KETI_SL_0000011797,59
11798,12,정면,단어,KETI_SL_0000011798,60
11799,12,정면,단어,KETI_SL_0000011799,61
11800,12,정면,단어,KETI_SL_0000011800,62
11801,12,정면,단어,KETI_SL_0000011801,63
11802,12,정면,단어,KETI_SL_0000011802,64
11803,12,정면,단어,KETI_SL_0000011803,65
11804,12,정면,단어,KETI_SL_0000011804,66
11805,12,정면,단어,KETI_SL_0000011805,67
11806,12,정면,단어,KETI_SL_0000011806,68
11807,12,정면,단어,KETI_SL_0000011807,69
11808,12,정면,단어,KETI_SL_0000011808,70
11809,12,정면,단어,KETI_SL_0000011809,71
11810,12,정면,단어,KETI_SL_0000011810,72
11811,12,정면,단어,KETI_SL_0000011811,73
11812,12,정면,단어,KETI_SL_0000011812,74
11813,12,정면,단어,KETI_SL_0000011813,75
11814,12,정면,단어,KETI_SL_0000011814,76
11815,12,정면,단어,KETI_SL_0000011815,77
11816,12,정면,단어,KETI_SL_0000011816,78
11817,12,정면,단어,KETI_SL_0000011817,79
11818,12,정면,단어,KETI_SL_0000011818,80
11819,12,정면,단어,KETI_SL_0000011819,81
11820,12,정면,단어,KETI_SL_0000011820,82
11821,12,정면,단어,KETI_SL_0000011821,83
11822,12,정면,단어,KETI_SL_0000011822,84
11823,12,정면,단어,KETI_SL_0000011823,85
11824,12,정면,단어,KETI_SL_0000011824,86
11825,12,정면,단어,KETI_SL_0000011825,87
11826,12,정면,단어,KETI_SL_0000011826,88
11827,12,정면,단어,KETI_SL_0000011827,89
11828,12,정면,단어,KETI_SL_0000011828,90
11829,12,정면,단어,KETI_SL_0000011829,91
11830,12,정면,단어,KETI_SL_0000011830,92
11831,12,정면,단어,KETI_SL_0000011831,93
11832,12,정면,단어,KETI_SL_0000011832,94
11833,12,정면,단어,KETI_SL_0000011833,95
11834,12,정면,단어,KETI_SL_0000011834,96
11835,12,정면,단어,KETI_SL_0000011835,97
11836,12,정면,단어,KETI_SL_0000011836,98
11837,12,정면,단어,KETI_SL_0000011837,99
11838,12,정면,단어,KETI_SL_0000011838,100
12157,12,좌측면,단어,KETI_SL_0000012157,0
12158,12,좌측면,단어,KETI_SL_0000012158,1
12159,12,좌측면,단어,KETI_SL_0000012159,2
12160,12,좌측면,단어,KETI_SL_0000012160,3
12161,12,좌측면,단어,KETI_SL_0000012161,4
12162,12,좌측면,단어,KETI_SL_0000012162,5
12163,12,좌측면,단어,KETI_SL_0000012163,6
12164,12,좌측면,단어,KETI_SL_0000012164,7
12165,12,좌측면,단어,KETI_SL_0000012165,8
12166,12,좌측면,단어,KETI_SL_0000012166,9
12167,12,좌측면,단어,KETI_SL_0000012167,10
12168,12,좌측면,단어,KETI_SL_0000012168,11
12169,12,좌측면,단어,KETI_SL_0000012169,12
12170,12,좌측면,단어,KETI_SL_0000012170,13
12171,12,좌측면,단어,KETI_SL_0000012171,14
12172,12,좌측면,단어,KETI_SL_0000012172,15
12173,12,좌측면,단어,KETI_SL_0000012173,16
12174,12,좌측면,단어,KETI_SL_0000012174,17
12175,12,좌측면,단어,KETI_SL_0000012175,18
12176,12,좌측면,단어,KETI_SL_0000012176,19
12177,12,좌측면,단어,KETI_SL_0000012177,20
12178,12,좌측면,단어,KETI_SL_0000012178,21
12179,12,좌측면,단어,KETI_SL_0000012179,22
12180,12,좌측면,단어,KETI_SL_0000012180,23
12181,12,좌측면,단어,KETI_SL_0000012181,24
12182,12,좌측면,단어,KETI_SL_0000012182,25
12183,12,좌측면,단어,KETI_SL_0000012183,26
12184,12,좌측면,단어,KETI_SL_0000012184,27
12185,12,좌측면,단어,KETI_SL_0000012185,28
12186,12,좌측면,단어,KETI_SL_0000012186,29
12187,12,좌측면,단어,KETI_SL_0000012187,30
12188,12,좌측면,단어,KETI_SL_0000012188,31
12189,12,좌측면,단어,KETI_SL_0000012189,32
12190,12,좌측면,단어,KETI_SL_0000012190,33
12191,12,좌측면,단어,KETI_SL_0000012191,34
12192,12,좌측면,단어,KETI_SL_0000012192,35
12193,12,좌측면,단어,KETI_SL_0000012193,36
12194,12,좌측면,단어,KETI_SL_0000012194,37
12195,12,좌측면,단어,KETI_SL_0000012195,38
12196,12,좌측면,단어,KETI_SL_0000012196,39
12197,12,좌측면,단어,KETI_SL_0000012197,40
12198,12,좌측면,단어,KETI_SL_0000012198,41
12199,12,좌측면,단어,KETI_SL_0000012199,42
12200,12,좌측면,단어,KETI_SL_0000012200,43
12201,12,좌측면,단어,KETI_SL_0000012201,44
12202,12,좌측면,단어,KETI_SL_0000012202,45
12203,12,좌측면,단어,KETI_SL_0000012203,46
12204,12,좌측면,단어,KETI_SL_0000012204,47
12205,12,좌측면,단어,KETI_SL_0000012205,48
12206,12,좌측면,단어,KETI_SL_0000012206,49
12207,12,좌측면,단어,KETI_SL_0000012207,50
12208,12,좌측면,단어,KETI_SL_0000012208,51
12209,12,좌측면,단어,KETI_SL_0000012209,52
12210,12,좌측면,단어,KETI_SL_0000012210,53
12211,12,좌측면,단어,KETI_SL_0000012211,54
12212,12,좌측면,단어,KETI_SL_0000012212,55
12213,12,좌측면,단어,KETI_SL_0000012213,56
12214,12,좌측면,단어,KETI_SL_0000012214,57
12215,12,좌측면,단어,KETI_SL_0000012215,58
12216,12,좌측면,단어,KETI_SL_0000012216,59
12217,12,좌측면,단어,KETI_SL_0000012217,60
12218,12,좌측면,단어,KETI_SL_0000012218,61
12219,12,좌측면,단어,KETI_SL_0000012219,62
12220,12,좌측면,단어,KETI_SL_0000012220,63
12221,12,좌측면,단어,KETI_SL_0000012221,64
12222,12,좌측면,단어,KETI_SL_0000012222,65
12223,12,좌측면,단어,KETI_SL_0000012223,66
12224,12,좌측면,단어,KETI_SL_0000012224,67
12225,12,좌측면,단어,KETI_SL_0000012225,68
12226,12,좌측면,단어,KETI_SL_0000012226,69
12227,12,좌측면,단어,KETI_SL_0000012227,70
12228,12,좌측면,단어,KETI_SL_0000012228,71
12229,12,좌측면,단어,KETI_SL_0000012229,72
12230,12,좌측면,단어,KETI_SL_0000012230,73
12231,12,좌측면,단어,KETI_SL_0000012231,74
12232,12,좌측면,단어,KETI_SL_0000012232,75
12233,12,좌측면,단어,KETI_SL_0000012233,76
12234,12,좌측면,단어,KETI_SL_0000012234,77
12235,12,좌측면,단어,KETI_SL_0000012235,78
12236,12,좌측면,단어,KETI_SL_0000012236,79
12237,12,좌측면,단어,KETI_SL_0000012237,80
12238,12,좌측면,단어,KETI_SL_0000012238,81
12239,12,좌측면,단어,KETI_SL_0000012239,82
12240,12,좌측면,단어,KETI_SL_0000012240,83
12241,12,좌측면,단어,KETI_SL_0000012241,84
12242,12,좌측면,단어,KETI_SL_0000012242,85
12243,12,좌측면,단어,KETI_SL_0000012243,86
12244,12,좌측면,단어,KETI_SL_0000012244,87
12245,12,좌측면,단어,KETI_SL_0000012245,88
12246,12,좌측면,단어,KETI_SL_0000012246,89
12247,12,좌측면,단어,KETI_SL_0000012247,90
12248,12,좌측면,단어,KETI_SL_0000012248,91
12249,12,좌측면,단어,KETI_SL_0000012249,92
12250,12,좌측면,단어,KETI_SL_0000012250,93
12251,12,좌측면,단어,KETI_SL_0000012251,94
12252,12,좌측면,단어,KETI_SL_0000012252,95
12253,12,좌측면,단어,KETI_SL_0000012253,96
12254,12,좌측면,단어,KETI_SL_0000012254,97
12255,12,좌측면,단어,KETI_SL_0000012255,98
12256,12,좌측면,단어,KETI_SL_0000012256,99
12257,12,좌측면,단어,KETI_SL_0000012257,100
12576,12,우측면,단어,KETI_SL_0000012576,0
12577,12,우측면,단어,KETI_SL_0000012577,1
12578,12,우측면,단어,KETI_SL_0000012578,2
12579,12,우측면,단어,KETI_SL_0000012579,3
12580,12,우측면,단어,KETI_SL_0000012580,4
12581,12,우측면,단어,KETI_SL_0000012581,5
12582,12,우측면,단어,KETI_SL_0000012582,6
12583,12,우측면,단어,KETI_SL_0000012583,7
12584,12,우측면,단어,KETI_SL_0000012584,8
12585,12,우측면,단어,KETI_SL_0000012585,9
12586,12,우측면,단어,KETI_SL_0000012586,10
12587,12,우측면,단어,KETI_SL_0000012587,11
12588,12,우측면,단어,KETI_SL_0000012588,12
12589,12,우측면,단어,KETI_SL_0000012589,13
12590,12,우측면,단어,KETI_SL_0000012590,14
12591,12,우측면,단어,KETI_SL_0000012591,15
12592,12,우측면,단어,KETI_SL_0000012592,16
12593,12,우측면,단어,KETI_SL_0000012593,17
12594,12,우측면,단어,KETI_SL_0000012594,18
12595,12,우측면,단어,KETI_SL_0000012595,19
12596,12,우측면,단어,KETI_SL_0000012596,20
12597,12,우측면,단어,KETI_SL_0000012597,21
12598,12,우측면,단어,KETI_SL_0000012598,22
12599,12,우측면,단어,KETI_SL_0000012599,23
12600,12,우측면,단어,KETI_SL_0000012600,24
12601,12,우측면,단어,KETI_SL_0000012601,25
12602,12,우측면,단어,KETI_SL_0000012602,26
12603,12,우측면,단어,KETI_SL_0000012603,27
12604,12,우측면,단어,KETI_SL_0000012604,28
12605,12,우측면,단어,KETI_SL_0000012605,29
