번호,언어 제공자 ID,취득연도,방향,타입(단어/문장),파일명,한국어
44,1,2018,정면,문장,KETI_SL_RES_0000000044.MOV,거기 몇명 정도 있으세요?
45,1,2018,정면,문장,KETI_SL_RES_0000000045.MOV,운전자 분은 괜찮으세요?
46,1,2018,정면,문장,KETI_SL_RES_0000000046.MOV,지금도 폭행을 당하시고 계시는거죠?
47,1,2018,정면,문장,KETI_SL_RES_0000000047.MOV,사망자가 있나요?
48,1,2018,정면,문장,KETI_SL_RES_0000000048.MOV,총알이 어디에 맞았나요?
49,1,2018,정면,문장,KETI_SL_RES_0000000049.MOV,혹시 차량 번호를 확인 하셨나요?
50,1,2018,정면,문장,KETI_SL_RES_0000000050.MOV,몇명이나 떨어졌죠?
51,1,2018,정면,문장,KETI_SL_RES_0000000051.MOV,높이가 얼마나 되나요?
52,1,2018,정면,문장,KETI_SL_RES_0000000052.MOV,아이를 어디서 잃어버리셨어요?
53,1,2018,정면,문장,KETI_SL_RES_0000000053.MOV,주변에 혹시 목격자 있으신가요?
54,1,2018,정면,문장,KETI_SL_RES_0000000054.MOV,환자분 나이대가 어떻게 보이나요? 
55,1,2018,정면,문장,KETI_SL_RES_0000000055.MOV,몇층에서 떨어졌는지는 보셨나요?
56,1,2018,정면,문장,KETI_SL_RES_0000000056.MOV,언제 아이가 사라졌나요?
57,1,2018,정면,문장,KETI_SL_RES_0000000057.MOV,주변에 도와줄 사람이 없나요?
58,1,2018,정면,문장,KETI_SL_RES_0000000058.MOV,방금 발견하셨나요?
59,1,2018,정면,문장,KETI_SL_RES_0000000059.MOV,싸우는 정도가 심각한가요?
60,1,2018,정면,문장,KETI_SL_RES_0000000060.MOV,어떻게 떨어졌나요?
61,1,2018,정면,문장,KETI_SL_RES_0000000061.MOV,불이 크게 났나요?
62,1,2018,정면,문장,KETI_SL_RES_0000000062.MOV,안에 다치신 분들은 계신가요?
63,1,2018,정면,문장,KETI_SL_RES_0000000063.MOV,폭행을 한 사람들은 몇 명이였나요?
64,1,2018,정면,문장,KETI_SL_RES_0000000064.MOV,몇대가 추돌했나요?
65,1,2018,정면,문장,KETI_SL_RES_0000000065.MOV,혹시 집안의 사람들은 다 대피하였나요?
66,1,2018,정면,문장,KETI_SL_RES_0000000066.MOV,무슨일이신가요?
67,1,2018,정면,문장,KETI_SL_RES_0000000067.MOV,어떤 응급상황인가요?
68,1,2018,정면,문장,KETI_SL_RES_0000000068.MOV,무엇을 도와드릴까요?
69,1,2018,정면,문장,KETI_SL_RES_0000000069.MOV,무엇이 필요하신가요?
70,1,2018,정면,문장,KETI_SL_RES_0000000070.MOV,상황을 설명해 주실 수 있나요?
71,1,2018,정면,문장,KETI_SL_RES_0000000071.MOV,주소가 어떻게 되나요?
72,1,2018,정면,문장,KETI_SL_RES_0000000072.MOV,위치가 어딘지 알 수 있을까요?
73,1,2018,정면,문장,KETI_SL_RES_0000000073.MOV,위치 좀 다시 한번 말씀해주세요
74,1,2018,정면,문장,KETI_SL_RES_0000000074.MOV,화재가 난 건물이 어디죠?
75,1,2018,정면,문장,KETI_SL_RES_0000000075.MOV,몇층에서 불이 나고 있나요?
76,1,2018,정면,문장,KETI_SL_RES_0000000076.MOV,어디서 사고가 일어났죠?
77,1,2018,정면,문장,KETI_SL_RES_0000000077.MOV,주변에 보이는 건물이나 상가가 있나요?
78,1,2018,정면,문장,KETI_SL_RES_0000000078.MOV,마지막으로 기억에 남는 장소가 있으세요?
79,1,2018,정면,문장,KETI_SL_RES_0000000079.MOV,집안 어디에 계세요?
80,1,2018,정면,문장,KETI_SL_RES_0000000080.MOV,비행기 어디에 타고 계세요?
81,1,2018,정면,문장,KETI_SL_RES_0000000081.MOV,지금 괜찮으세요?
82,1,2018,정면,문장,KETI_SL_RES_0000000082.MOV,가슴에 통증이 있나요?
83,1,2018,정면,문장,KETI_SL_RES_0000000083.MOV,언제부터 아프셨어요?
84,1,2018,정면,문장,KETI_SL_RES_0000000084.MOV,그 전에 병원을 다녔던 경력이 있나요?
85,1,2018,정면,문장,KETI_SL_RES_0000000085.MOV,크게 다쳤나요?
86,1,2018,정면,문장,KETI_SL_RES_0000000086.MOV,얼마나 다쳤나요?
87,1,2018,정면,문장,KETI_SL_RES_0000000087.MOV,어디에 화상을 입으신 건가요?
88,1,2018,정면,문장,KETI_SL_RES_0000000088.MOV,환자 상태가 어떤가요?
89,1,2018,정면,문장,KETI_SL_RES_0000000089.MOV,가슴에 통증이 있는지 물어봐줄래요?
90,1,2018,정면,문장,KETI_SL_RES_0000000090.MOV,환자는 지금 깨어있나요?
91,1,2018,정면,문장,KETI_SL_RES_0000000091.MOV,추가로 계속 피를 흘리고 있나요?
92,1,2018,정면,문장,KETI_SL_RES_0000000092.MOV,눈이 떠져있나요?
93,1,2018,정면,문장,KETI_SL_RES_0000000093.MOV,당신과 아이컨택을 하고 있나요?
94,1,2018,정면,문장,KETI_SL_RES_0000000094.MOV,지금 환자분 의식이 있는 상태인가요?
95,1,2018,정면,문장,KETI_SL_RES_0000000095.MOV,아직 살아있나요?
96,1,2018,정면,문장,KETI_SL_RES_0000000096.MOV,환자가 숨을 쉬고 있나요?
97,1,2018,정면,문장,KETI_SL_RES_0000000097.MOV,어떻게 죽었다는거죠?
98,1,2018,정면,문장,KETI_SL_RES_0000000098.MOV,환자가 대화가 가능한가요?
99,1,2018,정면,문장,KETI_SL_RES_0000000099.MOV,산모의 상태는 어떤가요?
100,1,2018,정면,문장,KETI_SL_RES_0000000100.MOV,환자가 쓰러지신지 얼마나 되셨죠?
101,1,2018,정면,문장,KETI_SL_RES_0000000101.MOV,저희가 도착할 때까지 계속 통화할 수 있나요?
102,1,2018,정면,문장,KETI_SL_RES_0000000102.MOV,전화 끊지 말고 잠시만 기다리세요.
103,1,2018,정면,문장,KETI_SL_RES_0000000103.MOV,그분들이 도착할 때까지 전화 끊으면 안돼요
104,1,2018,정면,문장,KETI_SL_RES_0000000104.MOV,혹시 저희가 출동하는 동안 상황을 지켜봐주실 수 있나요?
105,1,2018,정면,문장,KETI_SL_RES_0000000105.MOV,환자 옆에 계속 있어주겠어요?
106,1,2018,정면,문장,KETI_SL_RES_0000000106.MOV,잠시만 주변에 숨어계세요
107,1,2018,정면,문장,KETI_SL_RES_0000000107.MOV,숨을 수 있는 곳으로 도망치세요
108,1,2018,정면,문장,KETI_SL_RES_0000000108.MOV,조금만 진정하세요
109,1,2018,정면,문장,KETI_SL_RES_0000000109.MOV,가슴을 계속 누르고 있으세요
110,1,2018,정면,문장,KETI_SL_RES_0000000110.MOV,숨이 멈추면 저한테 이야기 해 주세요
111,1,2018,정면,문장,KETI_SL_RES_0000000111.MOV,CPR을 시작해주세요
112,1,2018,정면,문장,KETI_SL_RES_0000000112.MOV,당황하지 마시고 큰 길로 나가세요
113,1,2018,정면,문장,KETI_SL_RES_0000000113.MOV,선실 밖으로 나가서 구조를 요청하세요
114,1,2018,정면,문장,KETI_SL_RES_0000000114.MOV,갑판에서 구조를 기다려주세요
115,1,2018,정면,문장,KETI_SL_RES_0000000115.MOV,주변에 가까이 가지 마시고 경찰이 올 때까지 기다리세요
116,1,2018,정면,문장,KETI_SL_RES_0000000116.MOV,일단 대피하시고 잠시만 기다려주세요
117,1,2018,정면,문장,KETI_SL_RES_0000000117.MOV,일단 사람이 많은 곳으로 이동하신 다음에 주변을 확인해주세요
118,1,2018,정면,문장,KETI_SL_RES_0000000118.MOV,일단 가서 말려주세요
119,1,2018,정면,문장,KETI_SL_RES_0000000119.MOV,잠시만 기다려주세요
120,1,2018,정면,문장,KETI_SL_RES_0000000120.MOV,도와줄 사람들을 금방 보내줄게요
121,1,2018,정면,문장,KETI_SL_RES_0000000121.MOV,금방 도움을 드리겠습니다
122,1,2018,정면,문장,KETI_SL_RES_0000000122.MOV,경찰이 곧 갈거니까 잠시만 기다리세요
123,1,2018,정면,문장,KETI_SL_RES_0000000123.MOV,소방차가 곧 갈거니까 잠시만 기다리세요
124,1,2018,정면,문장,KETI_SL_RES_0000000124.MOV,구급차가 곧 갈거니까 잠시만 기다리세요
125,1,2018,정면,문장,KETI_SL_RES_0000000125.MOV,금방 119 아저씨들이 올거예요
126,1,2018,정면,문장,KETI_SL_RES_0000000126.MOV,금방 구급대원들이 도착할테니 잠시만 기다리세요
127,1,2018,정면,문장,KETI_SL_RES_0000000127.MOV,지금 사람들이 가고 있어요
128,1,2018,정면,문장,KETI_SL_RES_0000000128.MOV,최대한 빨리 출동하도록 하겠습니다
129,1,2018,정면,문장,KETI_SL_RES_0000000129.MOV,조금만 기다리시면 당신을 도와줄 사람들이 도착할 겁니다
130,1,2018,좌측면,문장,KETI_SL_RES_0000000130.MOV,112입니다.
131,1,2018,좌측면,문장,KETI_SL_RES_0000000131.MOV,119입니다.
132,1,2018,좌측면,문장,KETI_SL_RES_0000000132.MOV,네.
133,1,2018,좌측면,문장,KETI_SL_RES_0000000133.MOV,아니오.
134,1,2018,좌측면,문장,KETI_SL_RES_0000000134.MOV,알겠어요.
135,1,2018,좌측면,문장,KETI_SL_RES_0000000135.MOV,현관문은 열려있나요?
136,1,2018,좌측면,문장,KETI_SL_RES_0000000136.MOV,현관문을 열어줄 수 있나요?
137,1,2018,좌측면,문장,KETI_SL_RES_0000000137.MOV,집을 빠져나갈 수 있는 길이 있나요?
138,1,2018,좌측면,문장,KETI_SL_RES_0000000138.MOV,거기에 창문이 있나요?
139,1,2018,좌측면,문장,KETI_SL_RES_0000000139.MOV,지금 안전한 곳에 계신가요?
140,1,2018,좌측면,문장,KETI_SL_RES_0000000140.MOV,집에 혼자있나요?
141,1,2018,좌측면,문장,KETI_SL_RES_0000000141.MOV,지금 엄마는 어디에 있나요?
142,1,2018,좌측면,문장,KETI_SL_RES_0000000142.MOV,주변에 사람이 보이시나요?
143,1,2018,좌측면,문장,KETI_SL_RES_0000000143.MOV,주변에 어디 들어가 있을 곳이 없나요?
144,1,2018,좌측면,문장,KETI_SL_RES_0000000144.MOV,전화 받는 분의 나이가 어떻게 되나요?
145,1,2018,좌측면,문장,KETI_SL_RES_0000000145.MOV,환자 나이가 어떻게 되나요?
146,1,2018,좌측면,문장,KETI_SL_RES_0000000146.MOV,주변에 아무도 없나요?
147,1,2018,좌측면,문장,KETI_SL_RES_0000000147.MOV,이름을 알려줄래요?
148,1,2018,좌측면,문장,KETI_SL_RES_0000000148.MOV,선생님 이름이 어떻게 되시죠?
149,1,2018,좌측면,문장,KETI_SL_RES_0000000149.MOV,언제요?
150,1,2018,좌측면,문장,KETI_SL_RES_0000000150.MOV,발견한지 얼마나 지나셨나요?
151,1,2018,좌측면,문장,KETI_SL_RES_0000000151.MOV,그 시간에 전화하신 분은 안계셨나요?
152,1,2018,좌측면,문장,KETI_SL_RES_0000000152.MOV,거기 지금 누구랑 같이 있나요?
153,1,2018,좌측면,문장,KETI_SL_RES_0000000153.MOV,친구한테 무슨 문제가 있나요?
154,1,2018,좌측면,문장,KETI_SL_RES_0000000154.MOV,왜 뛰어내리려고 하시는거죠?
155,1,2018,좌측면,문장,KETI_SL_RES_0000000155.MOV,무엇으로 살해했나요?
156,1,2018,좌측면,문장,KETI_SL_RES_0000000156.MOV,자주 싸우셨나요?
157,1,2018,좌측면,문장,KETI_SL_RES_0000000157.MOV,갑자기 무너진 건가요?
158,1,2018,좌측면,문장,KETI_SL_RES_0000000158.MOV,혹시 다친 사람들이 많이 있나요?
159,1,2018,좌측면,문장,KETI_SL_RES_0000000159.MOV,혹시 다치신 분은 없으신가요?
160,1,2018,좌측면,문장,KETI_SL_RES_0000000160.MOV,남성분이 어떻게 난동을 부리고 있으신가요?
161,1,2018,좌측면,문장,KETI_SL_RES_0000000161.MOV,어디서 납치된 건지 기억나시나요?
162,1,2018,좌측면,문장,KETI_SL_RES_0000000162.MOV,아직도 쫓아오나요?
163,1,2018,좌측면,문장,KETI_SL_RES_0000000163.MOV,불이 얼만큼 번졌나요?
164,1,2018,좌측면,문장,KETI_SL_RES_0000000164.MOV,혹시 사고난 차량 운전자 분은 괜찮으신가요?
165,1,2018,좌측면,문장,KETI_SL_RES_0000000165.MOV,지금 그쪽에 몇명이 구타를 하고 있는지 보이세요?
166,1,2018,좌측면,문장,KETI_SL_RES_0000000166.MOV,어떻게 발견하시게 된거세요?
167,1,2018,좌측면,문장,KETI_SL_RES_0000000167.MOV,남성인가요?
168,1,2018,좌측면,문장,KETI_SL_RES_0000000168.MOV,지금 불이 어떻게 퍼지고 있나요?
169,1,2018,좌측면,문장,KETI_SL_RES_0000000169.MOV,최초에 어떻게 불길이 번졌는지 알고 계시나요?
170,1,2018,좌측면,문장,KETI_SL_RES_0000000170.MOV,일단 사람을 빨리 구출 할 순 있나요?
171,1,2018,좌측면,문장,KETI_SL_RES_0000000171.MOV,응급조치는 하셨나요?
172,1,2018,좌측면,문장,KETI_SL_RES_0000000172.MOV,그 안에 사람이 많이 있나요?
173,1,2018,좌측면,문장,KETI_SL_RES_0000000173.MOV,거기 몇명 정도 있으세요?
174,1,2018,좌측면,문장,KETI_SL_RES_0000000174.MOV,운전자 분은 괜찮으세요?
175,1,2018,좌측면,문장,KETI_SL_RES_0000000175.MOV,지금도 폭행을 당하시고 계시는거죠?
176,1,2018,좌측면,문장,KETI_SL_RES_0000000176.MOV,사망자가 있나요?
177,1,2018,좌측면,문장,KETI_SL_RES_0000000177.MOV,총알이 어디에 맞았나요?
178,1,2018,좌측면,문장,KETI_SL_RES_0000000178.MOV,혹시 차량 번호를 확인 하셨나요?
179,1,2018,좌측면,문장,KETI_SL_RES_0000000179.MOV,몇명이나 떨어졌죠?
180,1,2018,좌측면,문장,KETI_SL_RES_0000000180.MOV,높이가 얼마나 되나요?
181,1,2018,좌측면,문장,KETI_SL_RES_0000000181.MOV,아이를 어디서 잃어버리셨어요?
182,1,2018,좌측면,문장,KETI_SL_RES_0000000182.MOV,주변에 혹시 목격자 있으신가요?
183,1,2018,좌측면,문장,KETI_SL_RES_0000000183.MOV,환자분 나이대가 어떻게 보이나요? 
184,1,2018,좌측면,문장,KETI_SL_RES_0000000184.MOV,몇층에서 떨어졌는지는 보셨나요?
185,1,2018,좌측면,문장,KETI_SL_RES_0000000185.MOV,언제 아이가 사라졌나요?
186,1,2018,좌측면,문장,KETI_SL_RES_0000000186.MOV,주변에 도와줄 사람이 없나요?
187,1,2018,좌측면,문장,KETI_SL_RES_0000000187.MOV,방금 발견하셨나요?
188,1,2018,좌측면,문장,KETI_SL_RES_0000000188.MOV,싸우는 정도가 심각한가요?
189,1,2018,좌측면,문장,KETI_SL_RES_0000000189.MOV,어떻게 떨어졌나요?
190,1,2018,좌측면,문장,KETI_SL_RES_0000000190.MOV,불이 크게 났나요?
191,1,2018,좌측면,문장,KETI_SL_RES_0000000191.MOV,안에 다치신 분들은 계신가요?
192,1,2018,좌측면,문장,KETI_SL_RES_0000000192.MOV,폭행을 한 사람들은 몇 명이였나요?
193,1,2018,좌측면,문장,KETI_SL_RES_0000000193.MOV,몇대가 추돌했나요?
194,1,2018,좌측면,문장,KETI_SL_RES_0000000194.MOV,혹시 집안의 사람들은 다 대피하였나요?
195,1,2018,좌측면,문장,KETI_SL_RES_0000000195.MOV,무슨일이신가요?
196,1,2018,좌측면,문장,KETI_SL_RES_0000000196.MOV,어떤 응급상황인가요?
197,1,2018,좌측면,문장,KETI_SL_RES_0000000197.MOV,무엇을 도와드릴까요?
198,1,2018,좌측면,문장,KETI_SL_RES_0000000198.MOV,무엇이 필요하신가요?
199,1,2018,좌측면,문장,KETI_SL_RES_0000000199.MOV,상황을 설명해 주실 수 있나요?
200,1,2018,좌측면,문장,KETI_SL_RES_0000000200.MOV,주소가 어떻게 되나요?
201,1,2018,좌측면,문장,KETI_SL_RES_0000000201.MOV,위치가 어딘지 알 수 있을까요?
202,1,2018,좌측면,문장,KETI_SL_RES_0000000202.MOV,위치 좀 다시 한번 말씀해주세요
203,1,2018,좌측면,문장,KETI_SL_RES_0000000203.MOV,화재가 난 건물이 어디죠?
204,1,2018,좌측면,문장,KETI_SL_RES_0000000204.MOV,몇층에서 불이 나고 있나요?
205,1,2018,좌측면,문장,KETI_SL_RES_0000000205.MOV,어디서 사고가 일어났죠?
206,1,2018,좌측면,문장,KETI_SL_RES_0000000206.MOV,주변에 보이는 건물이나 상가가 있나요?
207,1,2018,좌측면,문장,KETI_SL_RES_0000000207.MOV,마지막으로 기억에 남는 장소가 있으세요?
208,1,2018,좌측면,문장,KETI_SL_RES_0000000208.MOV,집안 어디에 계세요?
209,1,2018,좌측면,문장,KETI_SL_RES_0000000209.MOV,비행기 어디에 타고 계세요?
210,1,2018,좌측면,문장,KETI_SL_RES_0000000210.MOV,지금 괜찮으세요?
211,1,2018,좌측면,문장,KETI_SL_RES_0000000211.MOV,가슴에 통증이 있나요?
212,1,2018,좌측면,문장,KETI_SL_RES_0000000212.MOV,언제부터 아프셨어요?
213,1,2018,좌측면,문장,KETI_SL_RES_0000000213.MOV,그 전에 병원을 다녔던 경력이 있나요?
214,1,2018,좌측면,문장,KETI_SL_RES_0000000214.MOV,크게 다쳤나요?
215,1,2018,좌측면,문장,KETI_SL_RES_0000000215.MOV,얼마나 다쳤나요?
216,1,2018,좌측면,문장,KETI_SL_RES_0000000216.MOV,어디에 화상을 입으신 건가요?
217,1,2018,좌측면,문장,KETI_SL_RES_0000000217.MOV,환자 상태가 어떤가요?
218,1,2018,좌측면,문장,KETI_SL_RES_0000000218.MOV,가슴에 통증이 있는지 물어봐줄래요?
219,1,2018,좌측면,문장,KETI_SL_RES_0000000219.MOV,환자는 지금 깨어있나요?
220,1,2018,좌측면,문장,KETI_SL_RES_0000000220.MOV,추가로 계속 피를 흘리고 있나요?
221,1,2018,좌측면,문장,KETI_SL_RES_0000000221.MOV,눈이 떠져있나요?
222,1,2018,좌측면,문장,KETI_SL_RES_0000000222.MOV,당신과 아이컨택을 하고 있나요?
223,1,2018,좌측면,문장,KETI_SL_RES_0000000223.MOV,지금 환자분 의식이 있는 상태인가요?
224,1,2018,좌측면,문장,KETI_SL_RES_0000000224.MOV,아직 살아있나요?
225,1,2018,좌측면,문장,KETI_SL_RES_0000000225.MOV,환자가 숨을 쉬고 있나요?
226,1,2018,좌측면,문장,KETI_SL_RES_0000000226.MOV,어떻게 죽었다는거죠?
227,1,2018,좌측면,문장,KETI_SL_RES_0000000227.MOV,환자가 대화가 가능한가요?
228,1,2018,좌측면,문장,KETI_SL_RES_0000000228.MOV,산모의 상태는 어떤가요?
229,1,2018,좌측면,문장,KETI_SL_RES_0000000229.MOV,환자가 쓰러지신지 얼마나 되셨죠?
230,1,2018,좌측면,문장,KETI_SL_RES_0000000230.MOV,저희가 도착할 때까지 계속 통화할 수 있나요?
231,1,2018,좌측면,문장,KETI_SL_RES_0000000231.MOV,전화 끊지 말고 잠시만 기다리세요.
232,1,2018,좌측면,문장,KETI_SL_RES_0000000232.MOV,그분들이 도착할 때까지 전화 끊으면 안돼요
233,1,2018,좌측면,문장,KETI_SL_RES_0000000233.MOV,혹시 저희가 출동하는 동안 상황을 지켜봐주실 수 있나요?
234,1,2018,좌측면,문장,KETI_SL_RES_0000000234.MOV,환자 옆에 계속 있어주겠어요?
235,1,2018,좌측면,문장,KETI_SL_RES_0000000235.MOV,잠시만 주변에 숨어계세요
236,1,2018,좌측면,문장,KETI_SL_RES_0000000236.MOV,숨을 수 있는 곳으로 도망치세요
237,1,2018,좌측면,문장,KETI_SL_RES_0000000237.MOV,조금만 진정하세요
238,1,2018,좌측면,문장,KETI_SL_RES_0000000238.MOV,가슴을 계속 누르고 있으세요
239,1,2018,좌측면,문장,KETI_SL_RES_0000000239.MOV,숨이 멈추면 저한테 이야기 해 주세요
240,1,2018,좌측면,문장,KETI_SL_RES_0000000240.MOV,CPR을 시작해주세요
241,1,2018,좌측면,문장,KETI_SL_RES_0000000241.MOV,당황하지 마시고 큰 길로 나가세요
242,1,2018,좌측면,문장,KETI_SL_RES_0000000242.MOV,선실 밖으로 나가서 구조를 요청하세요
243,1,2018,좌측면,문장,KETI_SL_RES_0000000243.MOV,갑판에서 구조를 기다려주세요
244,1,2018,좌측면,문장,KETI_SL_RES_0000000244.MOV,주변에 가까이 가지 마시고 경찰이 올 때까지 기다리세요
245,1,2018,좌측면,문장,KETI_SL_RES_0000000245.MOV,일단 대피하시고 잠시만 기다려주세요
246,1,2018,좌측면,문장,KETI_SL_RES_0000000246.MOV,일단 사람이 많은 곳으로 이동하신 다음에 주변을 확인해주세요
247,1,2018,좌측면,문장,KETI_SL_RES_0000000247.MOV,일단 가서 말려주세요
248,1,2018,좌측면,문장,KETI_SL_RES_0000000248.MOV,잠시만 기다려주세요
249,1,2018,좌측면,문장,KETI_SL_RES_0000000249.MOV,도와줄 사람들을 금방 보내줄게요
250,1,2018,좌측면,문장,KETI_SL_RES_0000000250.MOV,금방 도움을 드리겠습니다
251,1,2018,좌측면,문장,KETI_SL_RES_0000000251.MOV,경찰이 곧 갈거니까 잠시만 기다리세요
252,1,2018,좌측면,문장,KETI_SL_RES_0000000252.MOV,소방차가 곧 갈거니까 잠시만 기다리세요
253,1,2018,좌측면,문장,KETI_SL_RES_0000000253.MOV,구급차가 곧 갈거니까 잠시만 기다리세요
254,1,2018,좌측면,문장,KETI_SL_RES_0000000254.MOV,금방 119 아저씨들이 올거예요
255,1,2018,좌측면,문장,KETI_SL_RES_0000000255.MOV,금방 구급대원들이 도착할테니 잠시만 기다리세요
256,1,2018,좌측면,문장,KETI_SL_RES_0000000256.MOV,지금 사람들이 가고 있어요
257,1,2018,좌측면,문장,KETI_SL_RES_0000000257.MOV,최대한 빨리 출동하도록 하겠습니다
258,1,2018,좌측면,문장,KETI_SL_RES_0000000258.MOV,조금만 기다리시면 당신을 도와줄 사람들이 도착할 겁니다
259,1,2018,우측면,문장,KETI_SL_RES_0000000259.MOV,112입니다.
260,1,2018,우측면,문장,KETI_SL_RES_0000000260.MOV,119입니다.
261,1,2018,우측면,문장,KETI_SL_RES_0000000261.MOV,네.
262,1,2018,우측면,문장,KETI_SL_RES_0000000262.MOV,아니오.
263,1,2018,우측면,문장,KETI_SL_RES_0000000263.MOV,알겠어요.
264,1,2018,우측면,문장,KETI_SL_RES_0000000264.MOV,현관문은 열려있나요?
265,1,2018,우측면,문장,KETI_SL_RES_0000000265.MOV,현관문을 열어줄 수 있나요?
266,1,2018,우측면,문장,KETI_SL_RES_0000000266.MOV,집을 빠져나갈 수 있는 길이 있나요?
267,1,2018,우측면,문장,KETI_SL_RES_0000000267.MOV,거기에 창문이 있나요?
268,1,2018,우측면,문장,KETI_SL_RES_0000000268.MOV,지금 안전한 곳에 계신가요?
269,1,2018,우측면,문장,KETI_SL_RES_0000000269.MOV,집에 혼자있나요?
270,1,2018,우측면,문장,KETI_SL_RES_0000000270.MOV,지금 엄마는 어디에 있나요?
271,1,2018,우측면,문장,KETI_SL_RES_0000000271.MOV,주변에 사람이 보이시나요?
272,1,2018,우측면,문장,KETI_SL_RES_0000000272.MOV,주변에 어디 들어가 있을 곳이 없나요?
273,1,2018,우측면,문장,KETI_SL_RES_0000000273.MOV,전화 받는 분의 나이가 어떻게 되나요?
274,1,2018,우측면,문장,KETI_SL_RES_0000000274.MOV,환자 나이가 어떻게 되나요?
275,1,2018,우측면,문장,KETI_SL_RES_0000000275.MOV,주변에 아무도 없나요?
276,1,2018,우측면,문장,KETI_SL_RES_0000000276.MOV,이름을 알려줄래요?
277,1,2018,우측면,문장,KETI_SL_RES_0000000277.MOV,선생님 이름이 어떻게 되시죠?
