번호,언어 제공자 ID,취득연도,방향,타입(단어/문장),,파일명,한국어,
10623,11,2018,정면,단어,교통사고,KETI_SL_0000010623,교통사고,
10624,11,2018,정면,단어,구급대,KETI_SL_0000010624,구급대,
10625,11,2018,정면,단어,구급대원,KETI_SL_0000010625,구급대원,
10626,11,2018,정면,단어,구급차,KETI_SL_0000010626,구급차,
10627,11,2018,정면,단어,구로구,KETI_SL_0000010627,구로구,
10628,11,2018,정면,단어,구청,KETI_SL_0000010628,구청,
10629,11,2018,정면,단어,구해주세요,KETI_SL_0000010629,구해주세요,
10630,11,2018,정면,단어,귀,KETI_SL_0000010630,귀,
10631,11,2018,정면,단어,금가다,KETI_SL_0000010631,금가다,
10632,11,2018,정면,단어,금요일,KETI_SL_0000010632,금요일,
10633,11,2018,정면,단어,금천구,KETI_SL_0000010633,금천구,
10634,11,2018,정면,단어,급류,KETI_SL_0000010634,급류,
10635,11,2018,정면,단어,기절,KETI_SL_0000010635,기절,
10636,11,2018,정면,단어,기절하다,KETI_SL_0000010636,기절하다,
10637,11,2018,정면,단어,깔리다,KETI_SL_0000010637,깔리다,
10638,11,2018,정면,단어,끓는물,KETI_SL_0000010638,끓는물,
10639,11,2018,정면,단어,남자친구,KETI_SL_0000010639,남자친구,
10640,11,2018,정면,단어,남편,KETI_SL_0000010640,남편,
10641,11,2018,정면,단어,남학생,KETI_SL_0000010641,남학생,
10642,11,2018,정면,단어,납치,KETI_SL_0000010642,납치,
10643,11,2018,정면,단어,낫,KETI_SL_0000010643,낫,
10644,11,2018,정면,단어,낯선남자,KETI_SL_0000010644,낯선남자,
10645,11,2018,정면,단어,낯선사람,KETI_SL_0000010645,낯선사람,
10646,11,2018,정면,단어,낯선여자,KETI_SL_0000010646,낯선여자,
10647,11,2018,정면,단어,내년,KETI_SL_0000010647,내년,
10648,11,2018,정면,단어,내일,KETI_SL_0000010648,내일,
10649,11,2018,정면,단어,냄새나다,KETI_SL_0000010649,냄새나다,
10650,11,2018,정면,단어,노원구,KETI_SL_0000010650,노원구,
10651,11,2018,정면,단어,논,KETI_SL_0000010651,논,
10652,11,2018,정면,단어,농약,KETI_SL_0000010652,농약,
10653,11,2018,정면,단어,누나,KETI_SL_0000010653,누나,
10654,11,2018,정면,단어,누수,KETI_SL_0000010654,누수,
10655,11,2018,정면,단어,누전,KETI_SL_0000010655,누전,
10656,11,2018,정면,단어,누출,KETI_SL_0000010656,누출,
10657,11,2018,정면,단어,눈,KETI_SL_0000010657,눈,
10658,11,2018,정면,단어,다리,KETI_SL_0000010658,다리,
10659,11,2018,정면,단어,다음,KETI_SL_0000010659,다음,
10660,11,2018,정면,단어,달(월),KETI_SL_0000010660,달(월),
10661,11,2018,정면,단어,대문앞,KETI_SL_0000010661,대문앞,
10662,11,2018,정면,단어,도둑,KETI_SL_0000010662,도둑,
10663,11,2018,정면,단어,절도,KETI_SL_0000010663,절도,
10664,11,2018,정면,단어,도로,KETI_SL_0000010664,도로,
10665,11,2018,정면,단어,도봉구,KETI_SL_0000010665,도봉구,
10666,11,2018,정면,단어,독극물,KETI_SL_0000010666,독극물,
10667,11,2018,정면,단어,독버섯,KETI_SL_0000010667,독버섯,
10668,11,2018,정면,단어,독사,KETI_SL_0000010668,독사,
10669,11,2018,정면,단어,동대문구,KETI_SL_0000010669,동대문구,
10670,11,2018,정면,단어,동생,KETI_SL_0000010670,동생,
10671,11,2018,정면,단어,동작구,KETI_SL_0000010671,동작구,
10672,11,2018,정면,단어,동전,KETI_SL_0000010672,동전,
10673,11,2018,정면,단어,두드러기생기다,KETI_SL_0000010673,두드러기생기다,
10674,11,2018,정면,단어,뒤,KETI_SL_0000010674,뒤,
10675,11,2018,정면,단어,뒤통수,KETI_SL_0000010675,뒤통수,
10676,11,2018,정면,단어,등,KETI_SL_0000010676,등,
10677,11,2018,정면,단어,딸,KETI_SL_0000010677,딸,
10678,11,2018,정면,단어,떨어지다,KETI_SL_0000010678,떨어지다,
10679,11,2018,정면,단어,쓰러지다,KETI_SL_0000010679,쓰러지다,
10680,11,2018,정면,단어,뜨거운물,KETI_SL_0000010680,뜨거운물,
10681,11,2018,정면,단어,마당,KETI_SL_0000010681,마당,
10682,11,2018,정면,단어,마포구,KETI_SL_0000010682,마포구,
10683,11,2018,정면,단어,말려주세요,KETI_SL_0000010683,말려주세요,
10684,11,2018,정면,단어,말벌,KETI_SL_0000010684,말벌,
10685,11,2018,정면,단어,맹견,KETI_SL_0000010685,맹견,
10686,11,2018,정면,단어,머리,KETI_SL_0000010686,머리,
10687,11,2018,정면,단어,멧돼지,KETI_SL_0000010687,멧돼지,
10688,11,2018,정면,단어,목,KETI_SL_0000010688,목,
10689,11,2018,정면,단어,목요일,KETI_SL_0000010689,목요일,
10690,11,2018,정면,단어,무너지다,KETI_SL_0000010690,무너지다,
10691,11,2018,정면,단어,붕괴,KETI_SL_0000010691,붕괴,
10692,11,2018,정면,단어,무릎,KETI_SL_0000010692,무릎,
10693,11,2018,정면,단어,문틈,KETI_SL_0000010693,문틈,
10694,11,2018,정면,단어,물,KETI_SL_0000010694,물,
10695,11,2018,정면,단어,밑에,KETI_SL_0000010695,밑에,
10696,11,2018,정면,단어,아래,KETI_SL_0000010696,아래,
10697,11,2018,정면,단어,바다,KETI_SL_0000010697,바다,
10698,11,2018,정면,단어,반점생기다,KETI_SL_0000010698,반점생기다,
10699,11,2018,정면,단어,발,KETI_SL_0000010699,발,
10700,11,2018,정면,단어,발가락,KETI_SL_0000010700,발가락,
10701,11,2018,정면,단어,발목,KETI_SL_0000010701,발목,
10702,11,2018,정면,단어,발작,KETI_SL_0000010702,발작,
10703,11,2018,정면,단어,방망이,KETI_SL_0000010703,방망이,
10704,11,2018,정면,단어,밭,KETI_SL_0000010704,밭,
10705,11,2018,정면,단어,배,KETI_SL_0000010705,배,
10706,11,2018,정면,단어,복부,KETI_SL_0000010706,복부,
10707,11,2018,정면,단어,배고프다,KETI_SL_0000010707,배고프다,
10708,11,2018,정면,단어,뱀,KETI_SL_0000010708,뱀,
10709,11,2018,정면,단어,벌,KETI_SL_0000010709,벌,
10710,11,2018,정면,단어,범람,KETI_SL_0000010710,범람,
10711,11,2018,정면,단어,벼락,KETI_SL_0000010711,벼락,
10712,11,2018,정면,단어,병원,KETI_SL_0000010712,병원,
10713,11,2018,정면,단어,보건소,KETI_SL_0000010713,보건소,
10714,11,2018,정면,단어,보내주세요(경찰),KETI_SL_0000010714,보내주세요(경찰),
10715,11,2018,정면,단어,보내주세요(구급차),KETI_SL_0000010715,보내주세요(구급차),
10716,11,2018,정면,단어,복통,KETI_SL_0000010716,복통,
10717,11,2018,정면,단어,볼,KETI_SL_0000010717,볼,
10718,11,2018,정면,단어,부엌,KETI_SL_0000010718,부엌,
10719,11,2018,정면,단어,불,KETI_SL_0000010719,불,
10720,11,2018,정면,단어,불나다,KETI_SL_0000010720,불나다,
10721,11,2018,정면,단어,붕대,KETI_SL_0000010721,붕대,
10722,11,2018,정면,단어,비닐하우스,KETI_SL_0000010722,비닐하우스,
10723,11,2018,정면,단어,비상약,KETI_SL_0000010723,비상약,
10724,11,2018,정면,단어,빌라,KETI_SL_0000010724,빌라,
10725,11,2018,정면,단어,뼈,KETI_SL_0000010725,뼈,
10726,11,2018,정면,단어,사이,KETI_SL_0000010726,사이,
10727,11,2018,정면,단어,산,KETI_SL_0000010727,산,
10728,11,2018,정면,단어,살충제,KETI_SL_0000010728,살충제,
10729,11,2018,정면,단어,살해,KETI_SL_0000010729,살해,
10730,11,2018,정면,단어,삼키다,KETI_SL_0000010730,삼키다,
10731,11,2018,정면,단어,서대문구,KETI_SL_0000010731,서대문구,
10732,11,2018,정면,단어,서랍,KETI_SL_0000010732,서랍,
10733,11,2018,정면,단어,서울시,KETI_SL_0000010733,서울시,
10734,11,2018,정면,단어,서초구,KETI_SL_0000010734,서초구,
10735,11,2018,정면,단어,선반,KETI_SL_0000010735,선반,
10736,11,2018,정면,단어,선생님,KETI_SL_0000010736,선생님,
10737,11,2018,정면,단어,성동구,KETI_SL_0000010737,성동구,
10738,11,2018,정면,단어,성북구,KETI_SL_0000010738,성북구,
10739,11,2018,정면,단어,성폭행,KETI_SL_0000010739,성폭행,
10740,11,2018,정면,단어,소방관,KETI_SL_0000010740,소방관,
10741,11,2018,정면,단어,소방차,KETI_SL_0000010741,소방차,
10742,11,2018,정면,단어,소화기,KETI_SL_0000010742,소화기,
10743,11,2018,정면,단어,소화전,KETI_SL_0000010743,소화전,
10744,11,2018,정면,단어,손,KETI_SL_0000010744,손,
10745,11,2018,정면,단어,손가락,KETI_SL_0000010745,손가락,
10746,11,2018,정면,단어,손목,KETI_SL_0000010746,손목,
10747,11,2018,정면,단어,송파구,KETI_SL_0000010747,송파구,
10748,11,2018,정면,단어,수영장,KETI_SL_0000010748,수영장,
10749,11,2018,정면,단어,수요일,KETI_SL_0000010749,수요일,
10750,11,2018,정면,단어,술취한 사람,KETI_SL_0000010750,술취한 사람,
10751,11,2018,정면,단어,숨을안쉬다,KETI_SL_0000010751,숨을안쉬다,
10752,11,2018,정면,단어,시청,KETI_SL_0000010752,시청,
10753,11,2018,정면,단어,신고하세요(경찰),KETI_SL_0000010753,신고하세요(경찰),
10754,11,2018,정면,단어,심장마비,KETI_SL_0000010754,심장마비,
10755,11,2018,정면,단어,아기,KETI_SL_0000010755,아기,
10756,11,2018,정면,단어,아이들,KETI_SL_0000010756,아이들,
10757,11,2018,정면,단어,어린이,KETI_SL_0000010757,어린이,
10758,11,2018,정면,단어,아내,KETI_SL_0000010758,아내,
10759,11,2018,정면,단어,아들,KETI_SL_0000010759,아들,
10760,11,2018,정면,단어,아빠,KETI_SL_0000010760,아빠,
10761,11,2018,정면,단어,아저씨,KETI_SL_0000010761,아저씨,
10762,11,2018,정면,단어,아줌마,KETI_SL_0000010762,아줌마,
10763,11,2018,정면,단어,아파트,KETI_SL_0000010763,아파트,
10764,11,2018,정면,단어,인대,KETI_SL_0000010764,인대,
10765,11,2018,정면,단어,안방,KETI_SL_0000010765,안방,
10766,11,2018,정면,단어,알려주세요,KETI_SL_0000010766,알려주세요,
10767,11,2018,정면,단어,앞,KETI_SL_0000010767,앞,
10768,11,2018,정면,단어,앞집,KETI_SL_0000010768,앞집,
10769,11,2018,정면,단어,약국,KETI_SL_0000010769,약국,
10770,11,2018,정면,단어,약사,KETI_SL_0000010770,약사,
10771,11,2018,정면,단어,양천구,KETI_SL_0000010771,양천구,
10772,11,2018,정면,단어,어깨,KETI_SL_0000010772,어깨,
10773,11,2018,정면,단어,어제,KETI_SL_0000010773,어제,
10774,11,2018,정면,단어,어지러움,KETI_SL_0000010774,어지러움,
10775,11,2018,정면,단어,언니,KETI_SL_0000010775,언니,
10776,11,2018,정면,단어,얼굴,KETI_SL_0000010776,얼굴,
10777,11,2018,정면,단어,엄마,KETI_SL_0000010777,엄마,
10778,11,2018,정면,단어,엘리베이터,KETI_SL_0000010778,엘리베이터,
10779,11,2018,정면,단어,여자친구,KETI_SL_0000010779,여자친구,
10780,11,2018,정면,단어,여학생,KETI_SL_0000010780,여학생,
10781,11,2018,정면,단어,연기,KETI_SL_0000010781,연기,
10782,11,2018,정면,단어,연락해주세요,KETI_SL_0000010782,연락해주세요,
10783,11,2018,정면,단어,열,KETI_SL_0000010783,열,
10784,11,2018,정면,단어,열나다,KETI_SL_0000010784,열나다,
10785,11,2018,정면,단어,열어주세요,KETI_SL_0000010785,열어주세요,
10786,11,2018,정면,단어,엽총,KETI_SL_0000010786,엽총,
10787,11,2018,정면,단어,영등포구,KETI_SL_0000010787,영등포구,
10788,11,2018,정면,단어,옆집,KETI_SL_0000010788,옆집,
10789,11,2018,정면,단어,옆집 아저씨,KETI_SL_0000010789,옆집 아저씨,
10790,11,2018,정면,단어,옆집 할아버지,KETI_SL_0000010790,옆집 할아버지,
10791,11,2018,정면,단어,옆집사람,KETI_SL_0000010791,옆집사람,
10792,11,2018,정면,단어,옆쪽,KETI_SL_0000010792,옆쪽,
10793,11,2018,정면,단어,오늘,KETI_SL_0000010793,오늘,
10794,11,2018,정면,단어,오른쪽,KETI_SL_0000010794,오른쪽,
10795,11,2018,정면,단어,오른쪽-귀,KETI_SL_0000010795,오른쪽-귀,
10796,11,2018,정면,단어,오른쪽-눈,KETI_SL_0000010796,오른쪽-눈,
10797,11,2018,정면,단어,오빠,KETI_SL_0000010797,오빠,
10798,11,2018,정면,단어,옥상,KETI_SL_0000010798,옥상,
10799,11,2018,정면,단어,올해,KETI_SL_0000010799,올해,
10800,11,2018,정면,단어,왼쪽,KETI_SL_0000010800,왼쪽,
10801,11,2018,정면,단어,왼쪽-귀,KETI_SL_0000010801,왼쪽-귀,
10802,11,2018,정면,단어,왼쪽-눈,KETI_SL_0000010802,왼쪽-눈,
10803,11,2018,정면,단어,욕실,KETI_SL_0000010803,욕실,
10804,11,2018,정면,단어,용산구,KETI_SL_0000010804,용산구,
10805,11,2018,정면,단어,우리집,KETI_SL_0000010805,우리집,
10806,11,2018,정면,단어,운동장,KETI_SL_0000010806,운동장,
10807,11,2018,정면,단어,월요일,KETI_SL_0000010807,월요일,
10808,11,2018,정면,단어,위,KETI_SL_0000010808,위,
10809,11,2018,정면,단어,위에,KETI_SL_0000010809,위에,
10810,11,2018,정면,단어,위협,KETI_SL_0000010810,위협,
10811,11,2018,정면,단어,윗집,KETI_SL_0000010811,윗집,
10812,11,2018,정면,단어,윗집사람,KETI_SL_0000010812,윗집사람,
10813,11,2018,정면,단어,유리,KETI_SL_0000010813,유리,
10814,11,2018,정면,단어,유치원,KETI_SL_0000010814,유치원,
10815,11,2018,정면,단어,유치원 버스,KETI_SL_0000010815,유치원 버스,
10816,11,2018,정면,단어,은평구,KETI_SL_0000010816,은평구,
10817,11,2018,정면,단어,음식물,KETI_SL_0000010817,음식물,
10818,11,2018,정면,단어,응급대원,KETI_SL_0000010818,응급대원,
10819,11,2018,정면,단어,응급처리,KETI_SL_0000010819,응급처리,
10820,11,2018,정면,단어,의사,KETI_SL_0000010820,의사,
10821,11,2018,정면,단어,이마,KETI_SL_0000010821,이마,
10822,11,2018,정면,단어,이물질,KETI_SL_0000010822,이물질,
10823,11,2018,정면,단어,이번,KETI_SL_0000010823,이번,
10824,11,2018,정면,단어,이상한사람,KETI_SL_0000010824,이상한사람,
10825,11,2018,정면,단어,이웃집,KETI_SL_0000010825,이웃집,
10826,11,2018,정면,단어,일요일,KETI_SL_0000010826,일요일,
10827,11,2018,정면,단어,임산부,KETI_SL_0000010827,임산부,
10828,11,2018,정면,단어,임신한아내,KETI_SL_0000010828,임신한아내,
10829,11,2018,정면,단어,자동차,KETI_SL_0000010829,자동차,
10830,11,2018,정면,단어,자살,KETI_SL_0000010830,자살,
10831,11,2018,정면,단어,자상,KETI_SL_0000010831,자상,
10832,11,2018,정면,단어,작년,KETI_SL_0000010832,작년,
10833,11,2018,정면,단어,작은방,KETI_SL_0000010833,작은방,
10834,11,2018,정면,단어,장난감,KETI_SL_0000010834,장난감,
10835,11,2018,정면,단어,장단지,KETI_SL_0000010835,장단지,
10836,11,2018,정면,단어,절단,KETI_SL_0000010836,절단,
10837,11,2018,정면,단어,제초제,KETI_SL_0000010837,제초제,
10838,11,2018,정면,단어,조난,KETI_SL_0000010838,조난,
10839,11,2018,정면,단어,종로구,KETI_SL_0000010839,종로구,
10840,11,2018,정면,단어,주,KETI_SL_0000010840,주,
10841,11,2018,정면,단어,중구,KETI_SL_0000010841,중구,
10842,11,2018,정면,단어,중랑구,KETI_SL_0000010842,중랑구,
10843,11,2018,정면,단어,지난,KETI_SL_0000010843,지난,
10844,11,2018,정면,단어,지혈대,KETI_SL_0000010844,지혈대,
10845,11,2018,정면,단어,진통제,KETI_SL_0000010845,진통제,
10846,11,2018,정면,단어,질식,KETI_SL_0000010846,질식,
10847,11,2018,정면,단어,집,KETI_SL_0000010847,집,
10848,11,2018,정면,단어,집단폭행,KETI_SL_0000010848,집단폭행,
10849,11,2018,정면,단어,차밖,KETI_SL_0000010849,차밖,
10850,11,2018,정면,단어,차안,KETI_SL_0000010850,차안,
10851,11,2018,정면,단어,창문,KETI_SL_0000010851,창문,
10852,11,2018,정면,단어,창백하다,KETI_SL_0000010852,창백하다,
10853,11,2018,정면,단어,체온계,KETI_SL_0000010853,체온계,
10854,11,2018,정면,단어,총,KETI_SL_0000010854,총,
10855,11,2018,정면,단어,추락,KETI_SL_0000010855,추락,
10856,11,2018,정면,단어,축사,KETI_SL_0000010856,축사,
10857,11,2018,정면,단어,출산,KETI_SL_0000010857,출산,
10858,11,2018,정면,단어,출혈,KETI_SL_0000010858,출혈,
10859,11,2018,정면,단어,피나다,KETI_SL_0000010859,피나다,
10860,11,2018,정면,단어,친구,KETI_SL_0000010860,친구,
10861,11,2018,정면,단어,침수,KETI_SL_0000010861,침수,
10862,11,2018,정면,단어,칼,KETI_SL_0000010862,칼,
10863,11,2018,정면,단어,코,KETI_SL_0000010863,코,
10864,11,2018,정면,단어,택시,KETI_SL_0000010864,택시,
10865,11,2018,정면,단어,토요일,KETI_SL_0000010865,토요일,
10866,11,2018,정면,단어,토하다,KETI_SL_0000010866,토하다,
10867,11,2018,정면,단어,통학버스,KETI_SL_0000010867,통학버스,
10868,11,2018,정면,단어,트랙터,KETI_SL_0000010868,트랙터,
10869,11,2018,정면,단어,트럭,KETI_SL_0000010869,트럭,
10870,11,2018,정면,단어,파도,KETI_SL_0000010870,파도,
10871,11,2018,정면,단어,파편,KETI_SL_0000010871,파편,
10872,11,2018,정면,단어,팔,KETI_SL_0000010872,팔,
10873,11,2018,정면,단어,팔꿈치,KETI_SL_0000010873,팔꿈치,
10874,11,2018,정면,단어,폭발,KETI_SL_0000010874,폭발,
10875,11,2018,정면,단어,폭탄,KETI_SL_0000010875,폭탄,
10876,11,2018,정면,단어,폭우,KETI_SL_0000010876,폭우,
10877,11,2018,정면,단어,폭행,KETI_SL_0000010877,폭행,
10878,11,2018,정면,단어,학교,KETI_SL_0000010878,학교,
10879,11,2018,정면,단어,학생,KETI_SL_0000010879,학생,
10880,11,2018,정면,단어,할머니,KETI_SL_0000010880,할머니,
10881,11,2018,정면,단어,할아버지,KETI_SL_0000010881,할아버지,
10882,11,2018,정면,단어,함몰되다,KETI_SL_0000010882,함몰되다,
10883,11,2018,정면,단어,해(연),KETI_SL_0000010883,해(연),
10884,11,2018,정면,단어,해독제,KETI_SL_0000010884,해독제,
10885,11,2018,정면,단어,해열제,KETI_SL_0000010885,해열제,
10886,11,2018,정면,단어,허리,KETI_SL_0000010886,허리,
10887,11,2018,정면,단어,허벅지,KETI_SL_0000010887,허벅지,
